member_id,full_name,gender,birth_year,phone,register_date,home_branch
M0205,สิทธิชัย บัวบาน,M,1983,0610623327,2025-01-27,nimman
M0206,อรอุมา ศรีสุข,F,2007,0935870472,2025-12-18,cmu
M0207,วรรณภา คำมูล,F,1993,0635677390,2024-06-23,thaphae
M0208,กมลชนก ศักดิ์ดี,F,2000,0826357719,2023-07-01,nimman
M0209,สมหญิง ไชยวงศ์,F,2002,0904045527,2024-10-15,nimman
M0210,ณัฐธิดา ยอดเมือง,F,2005,0666089999,2025-03-20,cmu
M0211,สิทธิชัย จันทร์หอม,M,2007,0971284542,2025-06-23,cmu
M0212,จิราพร ทองดี,F,2006,0925360173,2024-04-19,cmu
M0213,อนุชา ยอดเมือง,M,2007,0958250077,2024-02-17,cmu
M0214,ณัฐวุฒิ หลวงแสน,M,1997,0935729469,2024-04-17,nimman
M0215,อรอุมา ยอดเมือง,F,2004,0652351448,2023-05-16,cmu
M0216,ธิดารัตน์ กันยา,F,2007,0807684004,2023-10-01,cmu
M0217,พงศกร ปัญญาดี,M,1996,0843550111,2023-04-13,nimman
M0218,กิตติพัฒน์ ศักดิ์ดี,M,2004,0824049317,2023-05-19,cmu
M0219,ธิดารัตน์ ศรีวิชัย,F,1975,0965970394,2023-08-12,nimman
M0220,ธีรภัทร จันทร์หอม,M,2006,0993149436,2024-12-11,cmu
M0221,ธนวัฒน์ สุขสวัสดิ์,M,1986,0956781551,2025-01-07,thaphae
M0222,ชยพล ทาคำ,M,2003,0888027795,2023-01-09,cmu
M0223,นันทนา วงค์ชัย,F,2001,0852645433,2025-02-02,nimman
M0224,วีรภาพ สายสุข,M,2002,0689674737,2023-04-05,cmu
M0225,ภูมิพัฒน์ กาวิละ,M,2008,0621891627,2024-04-03,nimman
M0226,มณีรัตน์ สุวรรณรัตน์,F,1982,0989107114,2025-09-27,nimman
M0227,ภูมิพัฒน์ คำมูล,M,2005,0903269176,2025-11-27,cmu
M0228,พิมพ์ชนก ปิ่นแก้ว,F,1992,0653382159,2023-07-20,nimman
M0229,มณีรัตน์ ปิ่นแก้ว,F,2005,0899548166,2025-02-16,cmu
M0230,วรรณภา แก้วมณี,F,2008,0627076107,2023-09-22,cmu
M0231,สุภาวดี ทองดี,F,1990,0866798139,2024-08-24,nimman
M0232,กัญญาณัฐ วงค์ชัย,F,2006,0828970686,2024-10-12,cmu
M0233,อรอุมา มีสุข,F,1980,0976551307,2025-04-02,nimman
M0234,พิมพ์ชนก ศรีวิชัย,F,1990,0965287792,2023-04-11,nimman
M0235,ธีรภัทร อุดมศักดิ์,M,1995,0975415134,2023-06-04,nimman
M0236,อรอุมา อุดมศักดิ์,F,2004,0934730323,2023-09-09,nimman
M0237,ชนิดา มีสุข,F,1974,0603156832,2025-10-09,thaphae
M0238,ภาคิน วงค์ชัย,M,2007,0866972284,2023-04-17,cmu
M0239,วรรณภา สุขสวัสดิ์,F,2008,0644611825,2023-10-23,cmu
M0240,จิรายุ บัวบาน,M,2002,0883304946,2023-07-19,cmu
M0241,ธนวัฒน์ ใจดี,M,2006,0990857080,2025-09-19,cmu
M0242,สุภาวดี ศักดิ์ดี,F,1983,0622221263,2025-05-05,nimman
M0243,วีรภาพ ปิ่นแก้ว,M,2007,0947579381,2025-09-30,cmu
M0244,ชนิดา สายสุข,F,1979,0602033621,2023-07-06,thaphae
M0245,สมชาย มอรสิล,M,2000,0672606537,2024-12-08,thaphae
M0246,อัญชิสา มอรสิล,F,1991,0623756044,2024-11-23,nimman
M0247,ชนิดา จันทร์แก้ว,F,1991,0626193837,2024-05-12,nimman
M0248,ชยพล หลวงแสน,M,2001,0816679142,2025-09-13,nimman
M0249,กิตติพัฒน์ ทองดี,M,1982,0975850070,2024-02-17,nimman
M0250,พงศกร นันทะ,M,1974,0802846070,2025-02-18,nimman
M0251,นพดล มอรสิล,M,1993,0853381314,2023-12-30,thaphae
M0252,ปกรณ์ หลวงแสน,M,1997,0937919910,2025-02-21,nimman
M0253,เบญญาภา กันยา,F,2004,0815086296,2025-01-05,cmu
M0254,อัญชิสา หลวงแสน,F,2008,0901873600,2024-07-09,cmu
M0255,พงศกร คำแสน,M,2004,0610090971,2025-08-04,thaphae
M0256,ภูมิพัฒน์ เรือนคำ,M,1999,0902546267,2024-02-29,nimman
M0257,สมชาย กาวิละ,M,2005,0995739897,2024-12-12,cmu
M0258,เอกชัย ปิ่นแก้ว,M,1992,0802190631,2025-02-06,thaphae
M0259,สุภาวดี มีสุข,F,2006,0672360820,2023-12-29,cmu
M0260,วรรณภา ศรีสุข,F,1994,0861178964,2023-08-02,nimman
M0261,พัชรินทร์ ยอดเมือง,F,2007,0811530510,2023-05-26,cmu
M0262,ภาคิน สุขสวัสดิ์,M,1986,0636895797,2023-11-25,thaphae
M0263,สมหญิง แสงทอง,F,1986,0886834195,2024-08-28,nimman
M0264,อัญชิสา ปัญญาดี,F,1989,0880183251,2023-02-17,nimman
M0265,สมหญิง สุวรรณรัตน์,F,1999,0848302419,2025-04-15,nimman
M0266,พงศกร สายสุข,M,1983,0851667575,2025-06-16,thaphae
M0267,กัญญาณัฐ พรหมมา,F,2003,0616640021,2023-04-14,cmu
M0268,รัชนีกร ยอดเมือง,F,1993,0840014436,2025-02-27,nimman
M0269,กมลชนก แก้วมณี,F,2003,0893794841,2023-01-29,cmu
M0270,ภูมิพัฒน์ ปันแก้ว,M,1993,0690730902,2023-01-28,thaphae
M0271,ศุภชัย เชียงทอง,M,2004,0695576424,2023-03-12,cmu
M0272,กิตติพัฒน์ อุดมศักดิ์,M,2007,0633094771,2025-05-27,cmu
M0273,มณีรัตน์ อินทร์แก้ว,F,2005,0888552094,2023-10-29,cmu
M0274,ธีรภัทร ทาคำ,M,1978,0833558829,2024-07-24,nimman
M0275,ชนิดา กาวิละ,F,1989,0816546871,2024-10-07,nimman
M0276,นพดล ไชยวงศ์,M,2006,0918003242,2024-01-26,cmu
M0277,สมหญิง ทองดี,F,2004,0868313258,2024-10-15,cmu
M0278,ธนวัฒน์ ศักดิ์ดี,M,2002,0863134085,2023-02-09,nimman
M0279,ธีรภัทร ใจมา,M,1993,0646069542,2025-11-10,thaphae
M0280,เบญญาภา ศรีวิชัย,F,1988,0955256959,2025-10-31,nimman
M0281,ณัฐวุฒิ บัวบาน,M,2005,0962960278,2025-10-11,cmu
M0282,กิตติพัฒน์ เชียงทอง,M,1995,0968058454,2025-09-20,nimman
M0283,วรรณภา เชียงทอง,F,1995,0928571769,2023-05-27,thaphae
M0284,ศุภชัย ปันแก้ว,M,2005,0924607700,2025-07-20,cmu
M0285,นพดล ธรรมวงศ์,M,1995,0843135608,2025-08-19,thaphae
M0286,เบญญาภา ปัญญาดี,F,2000,0859942701,2024-09-07,thaphae
M0287,ภูมิพัฒน์ สุวรรณรัตน์,M,1993,0953271008,2024-02-03,nimman
M0288,กฤษดา สุขสวัสดิ์,M,1990,0672398068,2024-09-04,thaphae
M0289,ธนากร คำมูล,M,1987,0972919000,2025-05-17,nimman
M0290,สมหญิง ศักดิ์ดี,F,2006,0927707063,2023-11-26,cmu
M0291,เบญญาภา ทองดี,F,2000,0947544356,2024-04-18,nimman
M0292,กัญญาณัฐ กันยา,F,1989,0852437089,2024-09-08,thaphae
M0293,จิราพร จันทร์หอม,F,2006,0877264259,2023-01-03,cmu
M0294,สมหญิง ทาคำ,F,1991,0982777334,2025-07-24,thaphae
M0295,อัญชิสา อินทร์แก้ว,F,2005,0969705744,2025-06-05,cmu
M0296,จิรายุ ปัญญาดี,M,2002,0971929498,2025-04-07,cmu
M0297,อนุชา วงค์ชัย,M,2007,0675568815,2024-02-22,cmu
M0298,ธีรภัทร ปัญญาดี,M,2003,0613894409,2023-01-19,cmu
M0299,ธนวัฒน์ ยอดเมือง,M,2002,0876275812,2023-11-29,cmu
M0300,เบญญาภา คำแสน,F,1992,0921364449,2025-12-28,thaphae
M0301,พิมพ์ชนก สุวรรณรัตน์,F,1980,0952315220,2025-05-25,nimman
M0302,วรรณภา ดวงดี,F,2008,0955765098,2023-07-21,cmu
M0303,พิมพ์ชนก มีสุข,F,1985,0845823179,2023-06-03,thaphae
M0304,เอกชัย ดวงดี,M,1995,0931842771,2023-03-22,nimman
M0305,พิมพ์ชนก สมบูรณ์,F,2006,0973988931,2024-06-14,cmu
M0306,กิตติพัฒน์ ศรีสุข,M,2004,0832840204,2025-12-28,cmu
M0307,จิราพร แสงทอง,F,1989,0846221059,2023-08-29,thaphae
M0308,จิรายุ คำมูล,M,1995,0826122363,2023-12-25,thaphae
M0309,วรรณภา อินต๊ะ,F,2002,0964331832,2025-11-21,cmu
M0310,ปกรณ์ ดวงดี,M,2004,0884635782,2025-01-06,cmu
M0311,เอกชัย บัวบาน,M,2002,0695574453,2023-03-09,cmu
M0312,ธีรภัทร วงศ์ใหญ่,M,1984,0956270186,2023-07-13,thaphae
M0313,สุภาวดี อินต๊ะ,F,2004,0832248729,2023-08-19,nimman
M0314,วรเมธ ปันแก้ว,M,1986,0605184685,2023-03-04,nimman
M0315,กัญญาณัฐ อินต๊ะ,F,1991,0863224323,2023-05-21,nimman
M0316,ปวีณา มีสุข,F,1974,0667203977,2025-08-19,nimman
M0317,พิมพ์ชนก กันยา,F,1988,0600701947,2024-06-17,nimman
M0318,สิทธิชัย สมบูรณ์,M,1971,0996633602,2024-10-19,nimman
M0319,ธิดารัตน์ บัวบาน,F,1993,0642250400,2024-04-15,nimman
M0320,เอกชัย ใจดี,M,1985,0665001632,2025-01-03,thaphae
M0321,ชนิดา จันทร์หอม,F,2003,0879957888,2025-06-30,cmu
M0322,ชนิดา ดวงดี,F,2003,0941655681,2024-04-17,cmu
M0323,วรรณภา หลวงแสน,F,2005,0925717592,2025-09-20,thaphae
M0324,พัชรินทร์ จันทร์หอม,F,2006,0692247977,2024-04-28,cmu
M0325,จิรายุ ใจดี,M,1989,0650017228,2025-08-17,nimman
M0326,จิรายุ ไชยวงศ์,M,1990,0657417643,2024-01-12,nimman
M0327,ธีรภัทร กันยา,M,1988,0811943403,2023-09-30,nimman
M0328,กมลชนก กาวิละ,F,1992,0832626693,2025-11-18,nimman
M0329,รัชนีกร ใจมา,F,2005,0944760871,2025-11-19,cmu
M0330,ปวีณา จันทร์หอม,F,2000,0923569195,2023-05-21,nimman
M0331,อัญชิสา สายสุข,F,2000,0630081151,2024-12-16,nimman
M0332,ศิริพร วงค์ชัย,F,2004,0821022035,2023-07-15,cmu
M0333,ธีรภัทร เชียงทอง,M,1990,0666927958,2023-05-31,nimman
M0334,สมชาย จันทร์แก้ว,M,2004,0839402168,2025-07-09,cmu
M0335,จิราพร เชียงทอง,F,2006,0905735221,2023-12-25,cmu
M0336,ธิดารัตน์ วงศ์ใหญ่,F,1987,0967454220,2024-04-26,thaphae
M0337,วีรภาพ กันยา,M,2007,0923686560,2024-10-27,cmu
M0338,กมลชนก ปันแก้ว,F,2004,0975202545,2023-11-01,thaphae
M0339,ธีรภัทร ปิ่นแก้ว,M,1982,0823814674,2023-03-31,nimman
M0340,ธีรภัทร นันทะ,M,2004,0832953250,2023-10-09,cmu
M0341,นันทนา ไชยวงศ์,F,2008,0621181596,2024-03-27,cmu
M0342,พิมพ์ชนก เรือนคำ,F,1997,0643759478,2024-05-22,nimman
